id,googlePlaceId,name,ownerId,createdBy,addressStreet,addressSuburb,addressState,addressPostcode,phone,email,website,instagram,facebook,bookingUrl,lat,lng,pricePerWeek,amenities,isActive,isFeatured,isTest,priceVerified,isPaid,stripePlan,stripeSubscriptionId,hoursMonday,hoursTuesday,hoursWednesday,hoursThursday,hoursFriday,hoursSaturday,hoursSunday,hoursComment,imageCount,description
gym-1419,ChIJ-RReEpkDkWsR3Uj7bXzbXXM,EMF Fitness & Recovery Centre Robina Home Hub,unclaimed,,20 Scottsdale Dr,Robina,QLD,4226,+61 455 248 094,,https://emfpc.com.au/clubs/emf-fitness-recovery-centre-robina-home-hub/,,,,-28.083931099999997,153.3928383,22,,true,false,false,false,false,,,,,,,,,,,0,"EMF Fitness & Recovery Centre Robina Home Hub in Robina is a well-equipped, independently operated gym delivering quality training in a friendly environment."
gym-1177,ChIJFfyX2BRakWsRI4pJIU43Ff4,Zap Fitness 24/7 Woolloongabba,unclaimed,,Woolloongabba Central,Woolloongabba,QLD,4102,+61 1300 927 348,,https://www.zapfitness.com.au/clubs/woolloongabba/?utm_source=gbp&utm_medium=organic&utm_campaign=ZAP%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Zap%20Fitness%2024/7%20Woolloongabba&utm_term=plcid_4537941584833036695,,,,-27.486937299999997,153.03574559999998,12,,true,false,false,false,false,,,,,,,,,,,0,"No frills, no fuss — just solid equipment available whenever you want it. This 24/7 gym packs cardio, machine weights, and a free weights section into a clean, well-lit space in Woolloongabba."
gym-978,ChIJ5ZVyC81D1moRfD9R0SHE3bw,Zap Fitness 24/7 Hawthorn,unclaimed,,824 Glenferrie Rd,Hawthorn,VIC,3122,+61 1300 927 348,,https://www.zapfitness.com.au/clubs/hawthorn/?utm_source=gbp&utm_medium=organic&utm_campaign=ZAP%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Zap%20Fitness%2024/7%20Hawthorn&utm_term=plcid_17510144493080413832,,,,-37.8167548,145.0366339,18,,true,false,false,false,false,,,,,,,,,,,0,"Your local Hawthorn fitness destination is open every hour of every day, so you can train on your own terms. Expect a well-maintained floor of cardio equipment, pin-loaded machines, and a free weights area — everything you need, without the extras you don't."
gym-644,ChIJAd3kiIioEmsRNV3eJp_-N9c,Form Fitness Personal Training Pymble,unclaimed,,20 Bridge St,Pymble,NSW,2073,+61 2 8330 6635,,https://www.formfitness.com.au/,,,,-33.751117799999996,151.1449908,45,,false,false,false,false,false,,,,,,,,,,,0,"A Pymble studio built around personalised coaching and real results. Whether it's one-on-one personal training or small group sessions, every member gets the attention they need."
gym-1361,ChIJW87afXBfkWsRz7xO7xSAqNc,Fitstop Wynnum,unclaimed,,1/143 Tingal Rd,Wynnum,QLD,4178,+61 418 646 607,,https://www.fitstop.com/wynnum,,,,-27.444813099999998,153.1708536,55,,true,false,false,false,false,,,,,,,,,,,0,Small-group training at its finest in Wynnum. Sessions blend cardio and resistance work for a comprehensive workout in under an hour. New members always welcome.
d9e510a2-4883-4ad0-a5a5-f7a02eaed2a6,ChIJF3PjdvAPkWsRZ73oGq7GIDU,Urban Energy,unclaimed,,53/3 Jackman St,Southport,QLD,4215,+61 412 428 338,,http://www.urban-gold-coast.com/,,,,-27.9673522,153.4035897,30,,true,false,false,false,false,,,,,,,,,,,0,"Urban Energy in Southport is a well-equipped, independently operated gym delivering quality training in a friendly environment."
fdac2c1f-ea4a-43c4-ac29-9b54b115345d,ChIJZ6EPv1-uMioRDY-6QPL8fI4,Northern Districts Gymnastic Club,unclaimed,,5 Whipple St,Balcatta,WA,6021,+61 8 9240 6861,,http://www.ndgc.org.au/,,,,-31.862377,115.80646979999999,20,cardio|free weights|showers|lockers,true,false,false,false,false,,,,,,,,,,,0,"A local gem in Balcatta, offering a fully equipped gym floor, experienced trainers, and a genuine commitment to member results."
gym-1224,ChIJS0fa7fBXkWsR89QX6EqeCbg,Powerhouse Gym Elite Stafford,unclaimed,,Shop FS2/400 Stafford Rd,Stafford,QLD,4053,+61 435 333 381,,https://www.powerhousegymelite.com.au/,,,,-27.4118887,153.011924,28,,true,false,false,false,false,,,,,,,,,,,0,"A local gem in Stafford, offering a fully equipped gym floor, experienced trainers, and a genuine commitment to member results."
gym-1082,ChIJA-N3S-MV1GoRbWMs_1CveUI,Fitstop Geelong,unclaimed,,25/158 Fyans St,South Geelong,VIC,3220,+61 439 986 795,,http://www.fitstopgeelong.com/,,,,-38.166730799999996,144.3627875,50,,true,false,false,false,false,,,,,,,,,,,0,"Built around the power of the group, this South Geelong studio delivers coached HIIT and functional training sessions designed to maximise results in minimal time. Rotating workouts and motivating coaches keep every visit fresh."
7c5f5f1b-9880-4007-aeb2-02704daa8b0f,ChIJ___rCMejMioRYPVXoJEHIp4,You Wellness Club,unclaimed,,57C Carrington St,Palmyra,WA,6167,+61 489 086 410,,http://youwellnessclub.com.au/,,,,-32.044399,115.77910580000001,20,cardio|free weights|showers|lockers,true,false,false,false,false,,,,,,,,,,,0,"You Wellness Club in Palmyra is a well-equipped, independently operated gym delivering quality training in a friendly environment."
