id,name,address,suburb,lat,lng,rating,totalRatings,phone,website,state,country
ChIJlyjSFz6uEmsR3h9BLTW9dUM,Premier Health & Fitness,"170 Castlereagh St, Sydney NSW 2000, Australia",Sydney CBD,-33.8726726,151.2093552,4.6,229,+61 2 8319 0444,https://premierhealthandfitness.com.au/sydneycbd/,NSW,AU
ChIJiT0CAD-uEmsRfdq3ftznH6Q,Plus Fitness 24/7,"25 Market St, Sydney NSW 2000, Australia",Sydney CBD,-33.87102120000001,151.20497129999998,4.1,190,+61 2 9264 0777,https://www.plusfitness.com.au/gyms/market-st--sydney-cbd/?utm_source=google&utm_medium=organic&utm_campaign=place-business-listing,NSW,AU
ChIJ96FoQzCvEmsR1BUQfqyPV8E,Anytime Fitness Martin Place,"80 Elizabeth St, Sydney NSW 2000, Australia",Sydney CBD,-33.868412,151.2107696,4.6,321,+61 460 331 223,https://www.anytimefitness.com/en-au/locations/martin-place-new-south-wales-au-1573,NSW,AU
ChIJA7bA1devEmsRXDxKxNii09Y,Revo Fitness - Pitt St Sydney,"Shop 5001/188 Pitt St, Sydney NSW 2000, Australia",Sydney CBD,-33.870321499999996,151.2093328,4.4,284,+61 1300 738 638,https://revofitness.com.au/?utm_term=plcid_14976486739966546863&utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=Revo+Fitness+-+Pitt+St+Sydney,NSW,AU
ChIJzfxaU0euEmsRvPruGlJZEKo,Ultimate Fitness Centre - 305 Kent & 120 Sussex St Sydney,"Ground Floor/305 Kent St, Sydney NSW 2000, Australia",Sydney CBD,-33.867125699999995,151.2041007,4.9,68,+61 409 207 575,http://ultimatefitnesscentre.com.au/,NSW,AU
ChIJ852CBxSuEmsRw9ES8UZ_sM4,City Gym Sydney,"107 Crown St, Darlinghurst NSW 2010, Australia",Sydney CBD,-33.875136,151.21602,4.5,334,+61 2 9360 6247,http://www.citygym.com.au/,NSW,AU
ChIJWRCjiT-uEmsR9SgCnHnV2Zs,Fitness First Bond St Platinum,"l1/20 Bond St, Sydney NSW 2000, Australia",Sydney CBD,-33.8643879,151.20843499999998,4.1,244,+61 2 8215 0200,https://www.fitnessfirst.com.au/clubs/bond-st-platinum/?utm_source=gbp&utm_medium=organic&utm_campaign=FF%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Fitness%20First%20Bond%20St%20Platinum%20-%20Sydney&utm_term=plcid_6420528340276804036,NSW,AU
ChIJxdD9IQqvEmsRvOKRa1crdZM,SOMA Health & Wellness Club,"Aurora Place, Ground Floor/88 Phillip St, Sydney NSW 2000, Australia",Sydney CBD,-33.8650775,151.2121816,4.9,331,+61 2 9169 9849,https://www.somacollection.com.au/,NSW,AU
ChIJy0Q0lj-uEmsRkE3BtpEUTAw,Virgin Active Pitt Street (MidCity Centre) Gym,"2/197 Pitt Street Mall, Sydney NSW 2000, Australia",Sydney CBD,-33.8696076,151.2081608,4.1,330,+61 2 8240 6000,https://www.virginactive.com.au/locations/pitt-street?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=pitt-street,NSW,AU
ChIJ___vMkGuEmsRFUR3ph7Xb5s,Snap Fitness 24/7 Sydney City,"35 Clarence St, Sydney NSW 2000, Australia",Sydney CBD,-33.8642648,151.2045525,4,112,+61 451 433 436,https://www.snapfitness.com/au/gyms/sydney-city?utm_source=gmb&utm_medium=yext,NSW,AU
ChIJv3c4jz-uEmsRNQT_5kJNMG8,Fitness First The Zone Platinum,"175 Pitt St, Sydney NSW 2000, Australia",Sydney CBD,-33.8685494,151.2079539,4.3,192,+61 2 9225 3900,https://www.fitnessfirst.com.au/clubs/the-zone-platinum/?utm_source=gbp&utm_medium=organic&utm_campaign=FF%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Fitness%20First%20The%20Zone%20Platinum%20-%20Sydney&utm_term=plcid_8621759168257411481,NSW,AU
ChIJmVBj0j6uEmsRMlKRapaCZoU,Fitness First Park St Platinum,"The Galeries, Level 1/500 George St, Sydney NSW 2000, Australia",Sydney CBD,-33.8724886,151.2079614,3.1,286,+61 2 8263 3000,https://www.fitnessfirst.com.au/clubs/park-st-platinum/?utm_source=gbp&utm_medium=organic&utm_campaign=FF%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Fitness%20First%20Park%20St%20Platinum%20-%20Sydney&utm_term=plcid_6908500264226752477,NSW,AU
ChIJb4yn5D2uEmsRzHcT0UsNbRs,Anytime Fitness Hyde Park,"Level 4/227 Elizabeth St, Sydney NSW 2000, Australia",Sydney CBD,-33.874382,151.2093658,4.1,455,+61 413 252 695,https://club.anytimefitness.com.au/sydney-hyde-park-nsw?fbclid=IwAR2gNSA0NTsYgbiPTbLbqPxMeJQ1NMtXu_yaLzmSilgwpyxjaZfGdTeazIE,NSW,AU
ChIJp4RPCzuvEmsRLeJsvwRGXhc,Virgin Active Bligh Street Gym,"2 Bligh St, Sydney NSW 2000, Australia",Sydney CBD,-33.8648841,151.2111741,4.6,75,+61 2 8650 4400,https://www.virginactive.com.au/locations/bligh-street?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=bligh-street,NSW,AU
ChIJvex9bEKuEmsRd1dJdhxrQiE,Anytime Fitness Circular Quay,"1/22 Pitt St, Sydney NSW 2000, Australia",Sydney CBD,-33.8620844,151.2093516,4.4,252,+61 484 926 351,https://club.anytimefitness.com.au/sydney-circular-quay-nsw,NSW,AU
ChIJEa6Y9D6uEmsRW1qMvO4fXJg,Fitness First Pitt St Platinum,"255 Pitt St, Sydney NSW 2000, Australia",Sydney CBD,-33.8717863,151.2078216,3.4,348,+61 2 8330 1700,https://www.fitnessfirst.com.au/clubs/pitt-st-platinum/?utm_source=gbp&utm_medium=organic&utm_campaign=FF%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Fitness%20First%20Pitt%20St%20Platinum%20-%20Sydney&utm_term=plcid_266542334387623692,NSW,AU
ChIJmVBj0j6uEmsRsfUDjbEius8,Fitness First Market St Platinum,"2 Market St, Sydney NSW 2000, Australia",Sydney CBD,-33.8705953,151.2041427,3.6,224,+61 2 8117 3300,https://www.fitnessfirst.com.au/clubs/market-st-platinum/?utm_source=gbp&utm_medium=organic&utm_campaign=FF%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Fitness%20First%20Market%20St%20Platinum%20-%20Sydney&utm_term=plcid_3459364285061553207,NSW,AU
ChIJq5QdW7CvEmsRQRAzErk6awk,BFT Town Hall,"LG/117 York St, Sydney NSW 2000, Australia",Sydney CBD,-33.871360599999996,151.206091,4.9,190,+61 415 130 226,https://www.bft.studio/townhall/gmb/,NSW,AU
ChIJI8Lnl8yvEmsRMutpwnTj9sA,UFC GYM Signature,"580 George St, Sydney NSW 2000, Australia",Sydney CBD,-33.874796599999996,151.2071479,4.2,294,+61 2 8905 0892,https://www.ufcgym.com.au/580george,NSW,AU
ChIJuxZvtpqvEmsRJ4hRryD9O8Q,Combine Air Sydney CBD,"Shop 16/275 Kent St, Sydney NSW 2000, Australia",Sydney CBD,-33.8660202,151.2041928,5,75,+61 449 977 503,https://combineairsydneycbd.trialus.com.au/,NSW,AU
ChIJpdYV2CGjEmsRaOezNB-hbsM,Universal Fitness Group,"Level 1, 12 Darcy Street, 4 Parramatta Sq, Parramatta NSW 2150, Australia",Parramatta,-33.8165526,151.00426349999998,4.6,175,+61 2 9633 1271,https://www.universalfitnessgroup.com.au/contact/,NSW,AU
ChIJeQMBYhijEmsRZ9qFvHyl_Cw,Plus Fitness 24/7 Parramatta,"181 Macquarie St, Parramatta NSW 2150, Australia",Parramatta,-33.816535699999996,151.00891909999999,4.3,328,+61 2 9689 1199,https://www.plusfitness.com.au/gyms/parramatta/?utm_source=google&utm_medium=organic&utm_campaign=place-business-listing,NSW,AU
ChIJNQ09xvijEmsRyJ6B0mcxNGA,Anytime Fitness Parramatta Central,"12 Union St, Parramatta NSW 2150, Australia",Parramatta,-33.8156283,151.0097455,4.8,16,+61 452 277 536,https://www.anytimefitness.com/en-au/locations/parramatta-new-south-wales-au-1873,NSW,AU
ChIJzbTOC9yjEmsRB-c_U8CbPqw,Plus Fitness 24/7 North Parramatta Victoria Rd,"Shop9/20c Victoria Rd, North Parramatta NSW 2151, Australia",Parramatta,-33.8081211,151.0065503,4.8,91,+61 2 9128 5599,https://www.plusfitness.com.au/gyms/northparramattavictoriard/,NSW,AU
ChIJRQ6C4h6jEmsRvXuKKhKrgVg,Crunch Fitness Parramatta,"292 Church St, Parramatta NSW 2150, Australia",Parramatta,-33.8126566,151.0040108,4.4,1278,+61 2 8088 8805,https://www.crunch.com.au/our-clubs/parramatta/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=parramatta-gym,NSW,AU
ChIJPV4ARZGjEmsRTetGjPt_AnU,Strive Fitness Parramatta,"110-112 Church St, Parramatta NSW 2150, Australia",Parramatta,-33.8187265,151.0039403,4.6,653,+61 480 029 970,http://strivefitness.com.au/parramatta,NSW,AU
ChIJvw8N1iOjEmsRZD9Ts9r5fnI,Anytime Fitness Parramatta South,"39 Cowper St, Parramatta NSW 2150, Australia",Parramatta,-33.8198173,151.00660969999998,4.3,452,+61 488 870 050,https://www.anytimefitness.com.au/gyms/au-1484/parramatta-nsw-2150/,NSW,AU
ChIJgQgmJQOjEmsR5QhAXL2CKa8,Genesis Health and Fitness,"91-95 Fennell St, Parramatta NSW 2150, Australia",Parramatta,-33.8070647,151.0137915,4.1,319,+61 2 9630 6400,https://www.genesisfitness.com.au/gym/nsw/parramatta?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=parramatta,NSW,AU
ChIJc3JnlkKjEmsRlqcxM7nimHo,Club Lime Parramatta,"Westfield Parramatta, Shop M9/15-19 Aird St, Parramatta NSW 2150, Australia",Parramatta,-33.8173081,151.0001627,3.7,107,+61 2 8071 4438,https://www.clublime.com.au/ourclubs/?id=e6127f8c-4d44-4f59-a86d-c500e8900b99&utm_source=gmb&utm_medium=organic&utm_campaign=gmb,NSW,AU
ChIJUco57B-jEmsRQpZwD-sQj4Q,Fitness First Parramatta,"57 Macquarie St, Parramatta NSW 2150, Australia",Parramatta,-33.815031399999995,151.0020146,3.3,409,+61 2 8844 8700,https://www.fitnessfirst.com.au/clubs/parramatta/?utm_source=gbp&utm_medium=organic&utm_campaign=FF%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Fitness%20First%20Parramatta&utm_term=plcid_17894039246865745491,NSW,AU
ChIJXblpdyCjEmsRI3leT_d-7Bc,Fernwood Fitness,"Westfield Parramatta, 6000, Level 6 Carpark/159-175 Church St, Parramatta NSW 2150, Australia",Parramatta,-33.8182129,151.00231159999998,4,219,+61 2 9806 0202,https://www.fernwoodfitness.com.au/clubs/parramatta,NSW,AU
ChIJM-6AmByjEmsRyyI99YnMqm8,Anytime Fitness North Parramatta,"7/9 Victoria Rd, Parramatta NSW 2150, Australia",Parramatta,-33.8089356,151.0066421,3.9,227,+61 474 779 800,https://www.anytimefitness.com.au/gyms/au-1110/north-parramatta-nsw-2150/?utm_source=google&utm_medium=organic&utm_campaign=gmb,NSW,AU
ChIJo3ZCNl6jEmsRDh-KbjaJ-3Y,World Gym North Parramatta,"1 Windsor Rd, North Rocks NSW 2151, Australia",Parramatta,-33.7920818,150.9993455,4.2,155,+61 2 7813 5085,https://www.worldgym.com.au/gyms/north-parramatta?utm_source=organic&utm_medium=gmb&utm_id=google,NSW,AU
ChIJzRhAxuSjEmsRMbyYSFFeWjQ,The Yard Gym Parramatta,"106 Grose St, North Parramatta NSW 2151, Australia",Parramatta,-33.8074569,151.013752,5,26,+61 405 338 737,https://theyardgymparramatta.trialus.com.au/,NSW,AU
ChIJkdOqWY-jEmsRhryCkRSMWEw,FitSlim Parramatta,"2/190 George St, Parramatta NSW 2150, Australia",Parramatta,-33.8152539,151.0109779,4.9,41,+61 498 469 846,https://fitslim.com.au/,NSW,AU
ChIJ_baz4XSjEmsR2JHtIfv7_uw,Parramatta Aquatic Centre (The PAC),"7A Park Parade, Parramatta NSW 2150, Australia",Parramatta,-33.8139594,150.9941265,3.7,879,+61 1300 617 058,https://www.cityofparramatta.nsw.gov.au/the-pac/?utm_content=Parramatta%20Aquatic%20Centre%20%28The%20PAC%29%20Future%20site&utm_campaign=Google%20My%20Business&utm_medium=organic&utm_source=google&utm_term=plcid_11518244550387572608,NSW,AU
ChIJzSmY5GqjEmsRvEveHrknol4,Planet Fitness,"300 Parramatta Rd, Auburn NSW 2144, Australia",Parramatta,-33.83905,151.02850999999998,4.2,444,+61 2 9062 6699,https://www.planetfitness.com.au/gyms/sydney-auburn-nsw?utm_medium=organic&utm_source=extnet,NSW,AU
ChIJQQ_4MseVEmsRnW3NG9qKLLk,Anytime Fitness,"Westfield Liverpool, 6b/25 George St, Liverpool NSW 2170, Australia",Liverpool,-33.9201762,150.9249495,4.4,409,+61 2 9601 3862,https://www.anytimefitness.com.au/gyms/au-1076/liverpool-nsw-2170/?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=Anytime+Fitness+-+Liverpool&utm_term=plcid_16012610133556866939,NSW,AU
ChIJmcU6jbqVEmsRI9BKxPFrYx8,Squashlands Gym & Fitness,"4 Norfolk St, Liverpool NSW 2170, Australia",Liverpool,-33.925512999999995,150.92041799999998,4.5,209,+61 2 9601 4844,https://squashlands.com.au/?utm_source=gmb&utm_medium=organic,NSW,AU
ChIJJ4NT4myVEmsRDRomD_Fa_K0,Snap Fitness 24/7 Liverpool,"138-140 Elizabeth Dr, Liverpool NSW 2170, Australia",Liverpool,-33.916052199999996,150.9099741,4.9,391,+61 457 897 214,https://www.snapfitness.com/au/gyms/liverpool?utm_source=bing&utm_medium=yext,NSW,AU
ChIJf-c8fLyVEmsR4xlj18Q7Y1c,Plus Fitness 24/7 Liverpool,"405 Macquarie St, Liverpool NSW 2170, Australia",Liverpool,-33.927093899999996,150.91941699999998,4.5,184,+61 2 9601 1103,http://www.plusfitness.com.au/gyms/liverpool/,NSW,AU
ChIJQcsW1zmVEmsRjV3v5iHFmgQ,Wellness Department,"Level 1/186 Macquarie St, Liverpool NSW 2170, Australia",Liverpool,-33.921757,150.924492,3.7,108,+61 450 173 090,https://www.wellnessdepartment.com.au/,NSW,AU
