id,name,addressState,website,status,min_weekly_price_aud,amenities,member_offers,confidence,error
fdac2c1f-ea4a-43c4-ac29-9b54b115345d,Northern Districts Gymnastic Club,WA,http://www.ndgc.org.au/,failed,,,,,"Error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""'claude-haiku-4-5-20251001' only supports "
7c5f5f1b-9880-4007-aeb2-02704daa8b0f,You Wellness Club,WA,http://youwellnessclub.com.au/,failed,,,,,"Error: 400 {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""'claude-haiku-4-5-20251001' only supports "
gym-214,Workout Fitness Centre,WA,https://www.facebook.com/p/Workout-Fitness-Cottesloe-100054642330443/,social_link,,,,,
gym-196,Adapt Health Club,WA,http://www.adapthealthclub.com.au/,success,89,"{""pool"":false,""spa"":false,""sauna"":false,""free_weights"":null,""cardio"":null,""group_classes"":true,""boxing_mma"":false,""yoga_pilates"":null,""parking"":null,""showers"":null,""lockers"":null,""childcare"":false,""cafe"":false,""access_247"":false,""personal_training"":true}","{""no_contract"":false,""contract"":true,""new_member_trial"":true,""referral_scheme"":null,""multi_location_access"":false,""app"":null}",high,
03388655-bb78-48d7-a245-e945b60761d7,One Life Fitness,WA,http://onelifefitness.com.au/,success,,"{""pool"":false,""spa"":true,""sauna"":true,""free_weights"":true,""cardio"":true,""group_classes"":true,""boxing_mma"":false,""yoga_pilates"":false,""parking"":null,""showers"":null,""lockers"":null,""childcare"":false,""cafe"":false,""access_247"":false,""personal_training"":true}","{""no_contract"":null,""contract"":null,""new_member_trial"":null,""referral_scheme"":null,""multi_location_access"":false,""app"":true}",low,
gym-073,Gold's Gym Rockingham,WA,https://goldsgym.com.au/rockingham/,success,32,"{""pool"":false,""spa"":false,""sauna"":true,""free_weights"":true,""cardio"":true,""group_classes"":true,""boxing_mma"":false,""yoga_pilates"":true,""parking"":null,""showers"":true,""lockers"":true,""childcare"":true,""cafe"":false,""access_247"":true,""personal_training"":true}","{""no_contract"":true,""contract"":true,""new_member_trial"":true,""referral_scheme"":null,""multi_location_access"":true,""app"":true}",high,
gym-100,Snap Fitness 24/7 Mandurah,WA,https://www.snapfitness.com/au/gyms/mandurah?utm_source=gmb&utm_medium=yext,success,16.98,"{""pool"":false,""spa"":false,""sauna"":true,""free_weights"":true,""cardio"":true,""group_classes"":true,""boxing_mma"":false,""yoga_pilates"":false,""parking"":true,""showers"":true,""lockers"":false,""childcare"":false,""cafe"":false,""access_247"":true,""personal_training"":true}","{""no_contract"":true,""contract"":true,""new_member_trial"":true,""referral_scheme"":true,""multi_location_access"":true,""app"":true}",high,
47a6bb71-2dbf-47ac-b459-d9ef755c30a5,Revo Fitness - Cockburn,WA,https://revofitness.com.au/gyms/cockburn/?utm_term=plcid_5211141285818954196&utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=Revo+Fitness+-+Cockburn+-+Cockburn+Central,success,9.69,"{""pool"":false,""spa"":false,""sauna"":false,""free_weights"":true,""cardio"":true,""group_classes"":true,""boxing_mma"":false,""yoga_pilates"":true,""parking"":true,""showers"":true,""lockers"":false,""childcare"":false,""cafe"":false,""access_247"":true,""personal_training"":true}","{""no_contract"":true,""contract"":false,""new_member_trial"":true,""referral_scheme"":false,""multi_location_access"":true,""app"":true}",high,
gym-164,BFT Osborne Park,WA,https://bodyfittraining.com/club/OsbornePark?utm_source=extnet&utm_medium=search&utm_campaign=franchise_lead_gen,success,59,"{""pool"":false,""spa"":false,""sauna"":false,""free_weights"":true,""cardio"":true,""group_classes"":true,""boxing_mma"":false,""yoga_pilates"":true,""parking"":null,""showers"":true,""lockers"":true,""childcare"":false,""cafe"":false,""access_247"":false,""personal_training"":true}","{""no_contract"":true,""contract"":false,""new_member_trial"":true,""referral_scheme"":false,""multi_location_access"":true,""app"":true}",high,
gym-200,Method Health,WA,http://www.methodhealth.com.au/,success,,"{""pool"":false,""spa"":false,""sauna"":false,""free_weights"":true,""cardio"":true,""group_classes"":true,""boxing_mma"":true,""yoga_pilates"":false,""parking"":null,""showers"":null,""lockers"":null,""childcare"":false,""cafe"":true,""access_247"":false,""personal_training"":true}","{""no_contract"":null,""contract"":null,""new_member_trial"":true,""referral_scheme"":null,""multi_location_access"":false,""app"":true}",low,
f56baacd-97b1-445e-b135-266be02e3651,The 6 Figure PT Club,WA,http://the6figureptclub.com/,success,,"{""pool"":null,""spa"":null,""sauna"":null,""free_weights"":null,""cardio"":null,""group_classes"":null,""boxing_mma"":null,""yoga_pilates"":null,""parking"":null,""showers"":null,""lockers"":null,""childcare"":null,""cafe"":null,""access_247"":null,""personal_training"":null}","{""no_contract"":null,""contract"":null,""new_member_trial"":null,""referral_scheme"":null,""multi_location_access"":null,""app"":null}",no_data,
gym-138,Plus Fitness 24/7 Subiaco,WA,https://www.plusfitness.com.au/gyms/subiaco,success,18.95,"{""pool"":false,""spa"":false,""sauna"":false,""free_weights"":true,""cardio"":true,""group_classes"":true,""boxing_mma"":false,""yoga_pilates"":false,""parking"":null,""showers"":true,""lockers"":true,""childcare"":false,""cafe"":false,""access_247"":true,""personal_training"":true}","{""no_contract"":true,""contract"":true,""new_member_trial"":null,""referral_scheme"":null,""multi_location_access"":true,""app"":null}",high,
