id,name,ownerId,street,suburb,state,postcode,phone,email,website,lat,lng,pricePerWeek,amenities,isActive,isFeatured,isTest,priceVerified,imageCount,description
gym-001,Anytime Fitness,owner-3,158-160 Murray St,Perth CBD,WA,6000,+61 422 859 905,,https://www.anytimefitness.com.au/gyms/au-1473/perth-wa-6000/,-31.9532988,115.860637,10,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Your local Perth CBD fitness destination is open every hour of every day, so you can train on your own terms. Expect a well-maintained floor of cardio equipment, pin-loaded machines, and a free weights area — everything you need, without the extras you don't."
gym-002,Snap Fitness 24/7 Perth CBD,owner-3,81 St Georges Terrace,Perth CBD,WA,6000,+61 450 707 627,,https://www.snapfitness.com/au/gyms/perth-cbd?utm_source=gmb&utm_medium=yext,-31.955353999999996,115.8578034,12,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Compact and efficient, this Perth CBD facility gives members access to a full suite of gym equipment any time, day or night. Swipe-card entry, clean facilities, and straightforward month-to-month memberships make it easy to get started."
gym-003,Surge Fitness | Club One,owner-3,1 The Esplanade,Perth CBD,WA,6000,+61 8 9408 5659,,https://www.surgefitness.com.au/,-31.957303999999997,115.8583238,22,cardio|free weights|showers|lockers,,,,,0,"Surge Fitness | Club One in Perth CBD is a well-equipped, independently operated gym delivering quality training in a friendly environment. Whether you prefer structured classes, personal training, or independent sessions, you'll find a welcoming community and the tools to reach your goals."
gym-004,Snap Fitness Perth City 24/7,owner-3,853 Hay St,Perth CBD,WA,6000,+61 490 071 509,,https://www.snapfitness.com/au/gyms/perth-city/,-31.952757799999997,115.85379540000001,12,cardio|free weights|showers|lockers|24/7 access,,,,,0,"No frills, no fuss — just solid equipment available whenever you want it. This 24/7 gym packs cardio, machine weights, and a free weights section into a clean, well-lit space in Perth CBD."
gym-005,Victoria Avenue Fitness Centre,owner-3,2 Victoria Ave,Perth CBD,WA,6000,+61 409 682 485,,https://victoriaavenuefitness.com.au/,-31.959264500000003,115.8648692,22,cardio|free weights|showers|lockers,,,,,0,This independently run fitness facility in Perth CBD prides itself on quality coaching and a genuine community feel. Members have access to a well-stocked gym floor and a team of passionate trainers who go beyond the standard script to help people succeed.
gym-006,Bobridge Gym,owner-3,217/225 Fitzgerald St,Perth CBD,WA,6000,+61 415 765 616,,http://bobridgegym.com.au/,-31.939524700000003,115.85617099999999,25,cardio|free weights|showers|lockers,,,,,0,"Built by fitness enthusiasts for fitness enthusiasts, Bobridge Gym in Perth CBD offers a well-curated equipment range and a knowledgeable coaching team. Memberships are flexible and the community is welcoming — come as you are, leave fitter."
gym-007,TheTrack Langley,owner-3,30 Terrace Rd,Perth CBD,WA,6004,+61 420 487 019,,http://www.thetrackgym.com.au/langley,-31.961848999999997,115.87289499999999,28,cardio|free weights|showers|lockers,,,,,0,"More personal than a big-box gym, more equipped than a micro-studio. This Perth CBD facility strikes the right balance, offering a quality training environment with staff who actually know your name."
gym-008,Plus Fitness,owner-3,3/448 Fitzgerald St,Perth CBD,WA,6006,+61 409 555 376,,https://www.plusfitness.com.au/gyms/north-perth/?utm_source=google&utm_medium=organic&utm_campaign=place-business-listing,-31.9315972,115.85945099999999,12,cardio|free weights|showers|lockers|24/7 access,,,,,0,"Your local Perth CBD fitness destination is open every hour of every day, so you can train on your own terms. Expect a well-maintained floor of cardio equipment, pin-loaded machines, and a free weights area — everything you need, without the extras you don't."
gym-009,Goodlife Health Clubs Brookfield Place,owner-3,125 St Georges Terrace,Perth CBD,WA,6000,+61 8 6141 1800,,https://www.goodlife.com.au/clubs/brookfield-place/?utm_source=gbp&utm_medium=organic&utm_campaign=GL%20-%20AO%20-%20GBP%20-%20GOO%20-%20AU&utm_content=Goodlife%20Health%20Clubs%20Brookfield%20Place%20-%20Perth&utm_term=plcid_9133876112318125146,-31.954989299999998,115.8552353,30,cardio|free weights|showers|lockers|group classes|personal training|sauna|pool|parking,,,,,0,"This well-established health club in Perth CBD combines a spacious gym floor with a diverse group fitness timetable, making it popular with everyone from casual gym-goers to serious athletes. Facilities include an extensive free weights area and modern amenities."
gym-010,Stadium Fitness East Perth,owner-3,opp BP,Perth CBD,WA,6004,+61 434 233 382,,http://www.stadiumfitness.com.au/,-31.950704,115.87716100000002,28,cardio|free weights|showers|lockers,,,,,0,"Stadium Fitness East Perth creates an environment where every member can thrive. A comprehensive equipment range, flexible membership options, and enthusiastic staff combine to form a fitness community that's genuinely invested in your success."
gym-011,Snap Fitness 24/7 South Perth,owner-3,80 Angelo St,Perth CBD,WA,6151,+61 498 286 444,,https://www.snapfitness.com/au/gyms/south-perth?utm_source=gmb&utm_medium=yext,-31.980672799999997,115.86339869999998,15,cardio|free weights|showers|lockers|24/7 access,,,,,0,"No frills, no fuss — just solid equipment available whenever you want it. This 24/7 gym packs cardio, machine weights, and a free weights section into a clean, well-lit space in Perth CBD."
