id,name,address,suburb,lat,lng,rating,totalRatings,phone,website,state,country
ChIJF7Y37KCRwCwRZNTJbwMxJDI,Fitnessworks NT 24/7,"100 Mitchell St, Darwin City NT 0800, Australia",Darwin CBD,-12.4588658,130.8361519,4.6,110,+61 8 8941 8711,http://www.fitnessworksnt.com.au/,NT,AU
ChIJCYIODQmRwCwR_wLck3HYubU,Club Lime Darwin City,"56 Smith St, Darwin City NT 0800, Australia",Darwin CBD,-12.4625434,130.8412773,4.3,279,+61 8 7914 7112,https://www.clublime.com.au/ourclubs/?id=636a77cc-e067-43d4-b3a4c4a4028be597&utm_source=gmb&utm_medium=organic&utm_campaign=gmb,NT,AU
ChIJff9lqfCRwCwRRWd9qHe4Tys,Fitstop Darwin,"75 Woods St, Darwin City NT 0800, Australia",Darwin CBD,-12.4583588,130.8406814,4.7,18,+61 428 296 487,http://www.fitstop.com/,NT,AU
ChIJ44rRIneRwCwRVzmp3AGEEUo,Anytime Fitness Darwin CBD,"40 Stuart Hwy, Stuart Park NT 0820, Australia",Darwin CBD,-12.447828099999999,130.8414483,4.6,310,+61 481 964 617,https://club.anytimefitness.com.au/darwin-cbd-nt,NT,AU
ChIJp1KqHByRwCwRHIrJPOhkqeY,Sky Barre Movement Studio | Darwin City,"Unit 2 & 3/44 Cavenagh St, Darwin City NT 0800, Australia",Darwin CBD,-12.461155699999999,130.8422505,4.9,23,+61 409 106 575,http://www.skybarre.com.au/,NT,AU
ChIJr2wZCXWRwCwRaw2lqwpyiS8,CrossFit Darwin,"4 Finniss St, Darwin City NT 0810, Australia",Darwin CBD,-12.453565999999999,130.839133,5,35,,http://www.crossfitdarwin.com/,NT,AU
ChIJa59FfueRwCwR3dii93Sz2oY,The Yoga Room Darwin,"29 The Mall, Darwin City NT 0800, Australia",Darwin CBD,-12.463785399999999,130.8425571,5,3,,https://www.theyogaroomdarwin.com.au/,NT,AU
ChIJ_5NE5K6RwCwRlNtyeH_VxK4,Darwin Fitness Training,"Esplanade, Darwin City NT 0800, Australia",Darwin CBD,-12.464903699999999,130.8397139,,,+61 429 045 498,https://darwinfitnesstraining.my.canva.site/,NT,AU
ChIJh3_mzw6RwCwRr_stgUeENkI,Darwin City Centre Apt | Pool & Gym | Free parking,"Darwin City NT 0800, Australia",Darwin CBD,-12.4612503,130.8430328,,,,https://book.hostfully.com/tropical-bnb/property-details/4c362fea-1f8e-4808-a2d7-52a99c3004b2/darwin-city-centre-apartment-%7C-pool-%26-gym?src=ggl,NT,AU
ChIJDymkiA-RwCwRhVLurp4UTJo,XL Personal Training,"4 Cavenagh St, Darwin City NT 0800, Australia",Darwin CBD,-12.463653599999999,130.845037,5,1,+61 451 717 775,,NT,AU
ChIJFZKkVL2RwCwRfbr0ziqqeC0,Pure Pilates NT - CBD,"47 Stuart Hwy, Stuart Park NT 0820, Australia",Darwin CBD,-12.4479586,130.8407292,5,5,+61 401 347 601,https://www.purepilatesnt.com.au/,NT,AU
ChIJv-ev4DiXwCwRFkPDOoRHGm0,Athletic Gym & Recovery Centre,"582 Stuart Hwy, Winnellie NT 0820, Australia",Darwin CBD,-12.4278443,130.90366310000002,5,7,+61 8 7936 8670,https://athleticnt.com.au/,NT,AU
ChIJAQBA8NiTwCwRjaK37xrXBFc,Pump'd Health and Fitness,"7 Bishop St, Woolner NT 0820, Australia",Darwin CBD,-12.4337453,130.8507741,4.8,39,+61 8 8941 3321,https://www.pump-d.com.au/,NT,AU
ChIJ9YVDmp2RwCwREqhZGmpok40,Rich Life Health & Fitness,"1-3/51 Marina Blvd, Larrakeyah NT 0820, Australia",Darwin CBD,-12.450214299999999,130.8227996,5,58,+61 480 343 180,http://www.rlhf.com.au/,NT,AU
ChIJKQB4E3uTwCwR6962yccMwVU,One More Fitness Club,"3/13 Fannie Bay Pl, Fannie Bay NT 0820, Australia",Darwin CBD,-12.423313499999999,130.8366252,5,20,+61 489 010 953,https://onemorefitness.com.au/,NT,AU
ChIJPxKn0g6RwCwRESbxIwpI9E8,Elite Physio NT,"44 Woods St, Darwin City NT 0800, Australia",Darwin CBD,-12.460503899999999,130.843428,5,56,+61 8 8941 8555,http://www.elitephysiont.com.au/,NT,AU
ChIJvZUG8YORwCwREmtk6yNQBOQ,Reformer Hub,"51 Marina Blvd, Larrakeyah NT 0820, Australia",Darwin CBD,-12.4501634,130.82261739999998,5,4,+61 474 178 459,https://www.reformerhub.com/,NT,AU
ChIJL1q2nZ-UwCwRipzT9NhjeeI,World Gym Darwin,"1 Monterey House, 247 Trower Rd, Casuarina NT 0810, Australia",Darwin CBD,-12.3751632,130.8827173,4,264,+61 8 8927 2099,http://www.worldgym.com.au/gyms/darwin?utm_source=organic&utm_medium=gmb&utm_id=google,NT,AU
ChIJix8_sOGTwCwRPaSrq0XREK4,CrossFit Abode,"12 Swan Cres, Winnellie NT 0820, Australia",Darwin CBD,-12.4316436,130.8607003,5,113,+61 428 244 176,http://www.crossfitabode.com/,NT,AU
ChIJ84ALAX-RwCwR_Ce4fOoWxsE,Snap Fitness 24/7 Parap,"133 Stuart Hwy, Parap NT 0820, Australia",Darwin CBD,-12.4395925,130.8402087,4.7,129,+61 437 727 161,https://www.snapfitness.com/au/gyms/parap?utm_source=gmb&utm_medium=yext,NT,AU
ChIJnYIXOp-UwCwRbKCZhV4i958,Snap Fitness 24/7 Casuarina,"Casuarina Shopping Village, Shop 23B/54 Bradshaw Terrace, Casuarina NT 0810, Australia",Casuarina,-12.371877699999999,130.8828565,4.5,83,+61 459 334 100,https://www.snapfitness.com/au/gyms/casuarina?utm_source=gmb&utm_medium=yext,NT,AU
ChIJA8TFBwCVwCwRVWUUr1_Jk-k,Club Lime Casuarina,"17 Gsell St, Casuarina NT 0810, Australia",Casuarina,-12.374151999999999,130.88525090000002,5,35,+61 8 7914 7110,https://www.clublime.com.au/ourclubs/?id=840fdc0b-53b7-4ae0-bd0c8f5cadcf1307,NT,AU
ChIJqRDTB16TwCwRK7uojdaOWLM,CDU Fitness Hub at the Health Hub,"Ellengowan Dr, Casuarina NT 0810, Australia",Casuarina,-12.3754075,130.87292779999999,3.9,18,+61 8 8946 7176,https://www.cdu.edu.au/health-hub/healthy-body,NT,AU
ChIJ2-t9RE2VwCwR3nO-O8_ffm0,Casuarina Aquatics and Leisure Centre (Casuarina Pool),"17 Gsell St, Casuarina NT 0810, Australia",Casuarina,-12.374137,130.8852392,4.1,39,+61 8 7912 8369,https://www.darwin.nt.gov.au/community/community-facilities/casuarina-aquatic-leisure-centre,NT,AU
ChIJSRRpdVeVwCwRP43TcSFaC4s,Pure Pilates NT - Casuarina,"Building 1, 13/17 Scaturchio St, Casuarina NT 0810, Australia",Casuarina,-12.3727133,130.8809935,5,38,+61 401 347 601,https://www.purepilatesnt.com.au/,NT,AU
ChIJaw8GIdK9wCwROUyv7YdXL8w,Anytime Fitness Palmerston,"38 Georgina Cres, Yarrawonga NT 0830, Australia",Palmerston,-12.478113599999999,130.9882499,5,6,+61 408 249 695,https://www.anytimefitness.com/en-au/locations/yarrawonga-northern-territory-au-1704,NT,AU
ChIJb7tXIqC9wCwR5AHaLmdQM5I,World Gym Palmerston,"2 Palmerston Cct, Palmerston City NT 0830, Australia",Palmerston,-12.477165099999999,130.985494,4.3,40,+61 8 7942 8458,https://www.worldgym.com.au/gyms/palmerston/presale?utm_source=organic&utm_medium=gmb&utm_id=google,NT,AU
ChIJUW7MMDO9wCwRFWm9y0cff40,Club Lime Palmerston,"15 Temple Terrace, Gray NT 0830, Australia",Palmerston,-12.4832351,130.9854112,4,109,+61 8 7914 7111,https://www.clublime.com.au/ourclubs/?id=286c7df8-06c7-4fce-b50d2ead76762e36&utm_source=gmb&utm_medium=organic&utm_campaign=gmb,NT,AU
ChIJk7ODY8O9wCwRaYxoUsXgnZE,ARC Fitness Australia Pty Ltd,"56 Georgina Cres, Yarrawonga NT 0830, Australia",Palmerston,-12.476393600000002,130.99113459999998,4.9,29,+61 404 197 760,http://www.arcfitnessaustralia.com.au/,NT,AU
ChIJc7JbkDy9wCwRrmUalIuvpwc,Snap Fitness 24/7 Yarrawonga,"Unit 2/2 Middleton St, Yarrawonga NT 0830, Australia",Palmerston,-12.4698183,130.9871343,4.7,78,+61 422 634 474,https://www.snapfitness.com/au/gyms/yarrawonga?utm_source=gmb&utm_medium=yext,NT,AU
ChIJW-AZ2fi9wCwRBGl5Xv99N20,Sky Barre Movement Studio | Palmerston,"17 University Ave, Palmerston City NT 0830, Australia",Palmerston,-12.4776306,130.983488,5,9,+61 409 106 575,https://www.skybarre.com.au/,NT,AU
ChIJ16znJOeiwCwRZ2D1y7XirfM,Next Level Gym,"1/35 Granites Dr, Rosebery NT 0832, Australia",Palmerston,-12.5028222,130.9930608,4.8,72,+61 8 8932 9476,http://nextlevelgym.com.au/,NT,AU
ChIJ9xoobqqUwCwR4Bs6Edzo6WA,SWELL Palmerston (Palmerston Pool and Gym),"31 Tilston Ave, Moulden NT 0830, Australia",Palmerston,-12.4968988,130.9711763,4.3,229,+61 8 8932 3474,https://www.swellpalmerston.com.au/,NT,AU
ChIJQ0ID5eWiwCwRFjplEB5Y9Io,Core Body Health and Fitness,"Joan Fejo Park, 49 Odegaard Dr, Rosebery NT 0832, Australia",Palmerston,-12.507408999999999,130.9959872,4.7,7,+61 437 106 947,http://www.corebodyhealthandfitness.com/,NT,AU
