Name,Suburb,Postcode,Phone,Email,Google Place ID
"Fitness Centre","Perth",6000,"","","ChIJfRsRPye7MioRrAnM4ETNRVE"
"Optimal Health Fitness & Recovery","Joondalup",6027,"+61 8 6383 6398","","ChIJY1G0IbJTzSsR_fhTB5vYIN4"
"The Cardio Room","Bellevue",6056,"+61 431 937 179","","ChIJ7T4t1TC5MioRhLO8kT2r6H4"
"Hammer Strength","Rockingham",6168,"+61 8 9527 6165","","ChIJA4fVtbScMioRh5u5-JX859c"
"The Collective 247 Health and Fitness club","Mandurah",6210,"+61 477 156 976","","ChIJ02KmGm5_MioRHvpLu6iPWi0"
"NS Fitness","Stirling",6021,"","","ChIJqcmyAw6vMioRxxGyzljKxlA"
"HMAS Stirling Gym","Garden Island",6168,"","","ChIJz6IoKsKdMioRi5JPSFtNu_0"
"Scot Henderson","Subiaco",6008,"+61 408 512 398","","ChIJwQB5sGilMioRfWhyh3GIPFU"
"Perth Modern School Gymnasium","Subiaco",6008,"","","ChIJt77o9zmlMioRYwnjZzUdTZI"
"Workout Fitness Centre","Cottesloe",6011,"+61 418 950 112","","ChIJg-v1jCekMioRJ30QsnDIN2Y"
"GDS Fitness","Perth",6000,"+61 424 203 189","","ChIJSUkxnfC7MioRrP9cSaQFn8Y"
"Steel Fitness","Perth",6000,"+61 422 993 233","","ChIJu4WzLpO7MioR0-MQ3_F3z8c"
"Society Fitness at The Switch","Perth",6000,"+61 474 806 813","","ChIJ31lyud-7MioRJfECFmNQ1rc"
"Hybrid House","Victoria Park",6100,"+61 468 031 356","","ChIJy0xMnP67MioRw0KRgXwkFBc"
"Fitness Park","East Victoria Park",6101,"","","ChIJE-MtPwC7MioR-w9dL9rtgJc"
"Legion Strength and Conditioning","Balcatta",6021,"+61 485 874 497","","ChIJl8fJx2CuMioRN_SYSmZAXw4"
"Grounded Fitness","Balcatta",6021,"+61 466 578 484","","ChIJ92-Go8WvMioRFVNAM0kxjOw"
"Cyril Jackson Recreation Centre","Bassendean",6054,"+61 8 9379 5122","","ChIJKeHPNxm6MioRgDqGcOkV-jg"
"Try Fit","Bayswater",6053,"","","ChIJ1_r3ORa6MioRIXbkRhAZzD4"
"Step into Life Canning Vale","Canning Vale",6155,"+61 448 547 993","","ChIJZwg3Qn6XMioRPG7hGwGGRzY"
"CrossFit Kill Switch","Kelmscott",6111,"","","ChIJkQTLQ5yUMioRdqz0IRqV_24"
"Shapes Health Club","Kelmscott",6111,"+61 8 9390 4900","","ChIJ50S1SZyUMioR-bJ9LtCqnf8"
"Five Star Fitness Training","Myaree",6154,"+61 433 468 579","","ChIJSfdj_uKjMioRbCUxCvvrOxY"
"Pro Fitness","Bunbury",6230,"+61 8 9791 8961","","ChIJ7UVfqGodLioRumdBpqJr3O8"
"FS8 Geraldton","Geraldton",6530,"","","ChIJSX8025tH2isRdx0JiyvrvYs"
